comment,rating,Вопрос не решен,Вопрос решен,Не понравилось качество услуги,Не понравился результат услуги,Понравилась работа сотрудников,Понравилась скорость работы,Понравилось качество услуги,Понравился результат услуги,Претензии и предложения
"спасибо большое, очень быстро и оперативно ,мастер классный , отлично знает свою работу",5.0,0,0,0,0,1,1,1,1,0
"было бы 5 звезд, но пришлось действовать через руководство, поэтому четыре. ",4.0,0,0,1,0,0,0,0,0,1
сантехник пришел в течение 20 минут. вежливый. проблему разрешил .,5.0,0,1,0,0,1,1,0,0,0
Лучший!,5.0,0,0,0,0,0,0,0,1,0
спасибо сегодня возвращался домой и запаха не почувствовал,5.0,0,0,0,0,0,0,0,1,0
Электрик прибежал оперативно и отключил сигнал пожарной тревоги. ,5.0,0,0,0,0,0,1,0,1,0
Большое спасибо! Очень оперативно  палец вверх (светлая кожа) два сердца,5.0,0,0,0,0,0,1,0,0,0
Все быстро и оперативно. Спасибо ,5.0,0,0,0,0,0,1,0,0,0
Благодарю! ,5.0,0,1,0,0,0,0,0,0,0
"Проблему устранили, но не сообщили по запросу, сколько потребуется времени на её решение",4.0,0,1,1,0,0,0,0,0,1
Спасибо за прямую связь со специалистом который смог устранить неисправность!,5.0,0,1,0,0,0,0,1,0,0
"проблема решена, теперь всё работает как надо",5.0,0,1,0,0,0,0,0,0,0
спасибо  улыбающееся лицо с открытыми руками ,5.0,0,1,0,0,0,0,0,0,0
"днём звонили был занят за рулём извините,,,, вечером пришли домой всё пересмотрели проверили вашу информацию спасибо нам всё понятно всё на каждый вопрос Вы ответили!!! спасибо Вам большое.!!!",5.0,0,1,0,0,0,0,1,1,0
Большое спасибо. Все нормально работает.,5.0,0,1,0,0,0,0,0,1,0
Очень оперативно! всë исправили,5.0,0,1,0,0,0,1,0,0,0
"Быстро, качествено и оперативно. ",5.0,0,0,0,0,0,1,1,0,0
"Отзвонились, зафиксировали, дежурный электрик молодец  аплодисменты (светлая кожа) ",5.0,0,0,0,0,1,0,0,0,0
всё очень быстро сделали ,5.0,0,1,0,0,0,1,0,0,0
спасибо огромное за быстрое решение моей заявки!  палец вверх,5.0,0,1,0,0,0,1,0,0,0
"Электрик пришел, все проверил и нам объяснил все. Спасибо большое! ",5.0,0,1,0,0,0,0,1,0,0
"Только положительные эмоции,специалист очень ответственный,огромная благодарность!",5.0,0,0,0,0,1,0,0,0,0
Откусили конец сгоревшего Ноля. Заменили левый автомат. Будем наблюдать далее.,5.0,0,1,0,0,0,0,0,0,0
Мастеру Александру спасибо большое! ,5.0,0,0,0,0,1,0,0,0,0
"Вежливые, доброжелательные. Разъяснили, подсказали.",5.0,0,0,0,0,1,0,1,0,0
Хорошая девушка менеджер ! Очень понятливая и на 100% вошла в положение всех жителей и донесла это до руководства ! Благодарю её! ,5.0,0,0,0,0,1,0,1,1,0
Спасибо большое за оперативность! Хорошего дня вам! ,5.0,0,0,0,0,0,1,0,0,0
Все хорошо !  Быстро пришел мастер сделал все четко . ,5.0,0,0,0,0,0,1,1,0,0
"Самое главное,оперативно.",5.0,0,0,0,0,0,1,0,0,0
прекрасный мастер ,5.0,0,0,0,0,1,0,0,0,0
"Сергей Анатольевич, мастер своего дела. Выполнил работу быстро и качественно, спасибо.",5.0,0,1,0,0,1,1,1,1,0
"Отличный специалист, вопрос решен. Спасибо.",5.0,0,1,0,0,1,0,0,0,0
устранили неполадку очень оперативно и качественно. большое спасибо. ,5.0,0,1,0,0,0,1,1,0,0
"Сделали после того,как написали в наш город заявки соседи ",1.0,0,0,0,0,0,0,0,0,1
"Оперативно и быстро,спасибо Сергею!",5.0,0,0,0,0,1,1,0,0,0
спасибо) вы классные  улыбающееся лицо с сердечками,5.0,0,1,0,0,0,0,0,0,0
Спасибо большое :rose:,5.0,0,1,0,0,0,0,0,0,0
в лучшем виде ,5.0,0,0,0,0,0,0,0,1,0
"Благодарю за оперативное устранение проблемы! Отдельная благодарность мастеру за подробное разъяснение о причинах отсутствия горячейводы, приятное общение и человеческое отношение!!!",5.0,0,1,0,0,1,1,1,1,0
Спасибо большое вам за работу!,5.0,0,1,0,0,0,0,0,0,0
все быстро и оперативно,5.0,0,0,0,0,0,1,0,0,0
"Вопрос решен,ну мусорка снова полная.можно поставить два контейнера? ",4.0,0,1,1,0,0,0,0,0,0
"Спасибо! Не делайте так больше, или хотя бы заранее предупреждайте о раннем отключении воды, чтоб люди с вечера успели её набрать!! ",5.0,0,1,1,0,0,0,0,0,1
Приехали быстро. Спасибо!,5.0,0,0,0,0,0,1,0,0,0
Всё быстро . Работа выполнена,5.0,0,1,0,0,0,1,0,0,0
Благодарю за оперативность! ,5.0,0,0,0,0,0,1,0,0,0
"спасибо, отлично ",5.0,0,1,0,0,0,0,0,0,0
спасибо за быструю реакцию!,5.0,0,0,0,0,0,1,0,0,0
Все супер,5.0,0,1,0,0,1,1,1,1,0
все отлично.,5.0,0,1,0,0,1,1,1,1,0
Претензий нет,5.0,0,1,0,0,0,0,0,0,0
"Спасибо большое мастеру, все починил, объяснил! ",5.0,0,0,0,0,1,0,1,0,0
спасибо большое всем кто помог решить данную проблему ,5.0,0,1,0,0,0,0,0,0,0
"Спасибо огромное Петрине Оксане Вдадимировне. Из 5 заявок  только она смогла правильно ответить на заявку. А остальных можете увольнять ,работают видно для галочки.",5.0,0,1,1,0,1,0,0,0,0
Спасибо огромное,5.0,0,1,0,0,0,0,0,0,0
Все очень хорошо ,5.0,0,1,0,0,0,0,0,0,0
Быстро и четко!)),5.0,0,0,0,0,0,1,1,0,0
замечательный шутро и быстро сделали Молодец  палец вверх,5.0,0,1,0,0,0,1,0,0,0
спасибо. решили оперативно! ,5.0,0,1,0,0,0,1,0,0,0
Быстро качественно ,5.0,0,0,0,0,0,1,1,0,0
Отличный специалист! ,5.0,0,0,0,0,1,0,0,0,0
Спасибо Никита:flexed_biceps:,5.0,0,0,0,0,1,0,0,0,0
Оперативно. Очень вежливый сантехник. Приятно было общаться и получить решение проблемы через 25 минут. Спасибо.,5.0,0,1,0,0,1,1,1,0,0
Спасибо за оперативность.,5.0,0,0,0,0,0,1,0,0,0
спасибо за информацию!,5.0,0,0,0,0,0,0,1,1,0
Очень нравится что стали поливать газон,5.0,0,0,0,0,0,0,1,0,0
мастер супер!!!,5.0,0,0,0,0,1,0,0,0,0
спасибо большое за скорость,5.0,0,0,0,0,0,1,0,0,0
Спасибо дежурному сантехнику,5.0,0,0,0,0,1,0,0,0,0
"оперативно,спасибо",5.0,0,0,0,0,0,1,0,0,0
Сотрудник позвонил и всё понятно объяснил. Спасибо.,5.0,0,1,0,0,1,0,1,0,0
Спасибо Вам Татьяна. Хорошего дня  рукопожатие палец вверх улыбающееся лицо в солнцезащитных очках,5.0,0,0,0,0,1,0,0,0,0
Благодарю УК за оперативность и решение моего вопроса.,5.0,0,1,0,0,0,1,0,0,0
хорошо ,1.0,0,0,0,1,0,0,0,0,0
спасибо за оперативность! ,5.0,0,0,0,0,0,1,0,0,0
"Сотрудник супер,вежливый и работа выполнена на 5+",5.0,0,1,0,0,1,0,1,1,0
Спасибо. Очень быстро приняли меры.,5.0,0,1,0,0,0,1,0,0,0
Все доступно объяснили.,5.0,0,0,0,0,0,0,1,1,0
"Отличный специалист. Все показал, рассказал объяснил.",5.0,0,0,0,0,1,0,1,1,0
"отзывчивые менеджеры, всем спасибо за быстроту",5.0,0,0,0,0,1,1,0,0,0
"Дана консультация, жду решения",5.0,0,0,0,0,0,0,1,0,0
Очень оперативно! Спасибо большое!!! ,5.0,0,0,0,0,0,1,0,0,0
Оперативно и четко решен вопрос. Благодарю. ,5.0,0,1,0,0,0,1,1,0,0
все на высшем уровне ,5.0,0,1,0,0,1,1,1,1,0
Спасибо  палец вверх (светлая кожа) палец вверх (светлая кожа) палец вверх (светлая кожа),5.0,0,1,0,0,0,0,0,0,0
"Спасибо,что включили кран ",5.0,0,1,0,0,0,0,0,0,0
Лучший специалист! Спасибо ,5.0,0,0,0,0,1,0,0,0,0
"проблема не решена,но даны исчерпывающие разъяснения и рекомеедации",5.0,0,0,0,1,0,0,1,0,0
Идеально!,5.0,0,1,0,0,1,1,1,1,0
спасибо большое за помощь!Мария решила быстро вопрос.Настоящий специалист. ,5.0,0,1,0,0,1,1,1,1,0
"Супер, спасибо !",5.0,0,1,0,0,0,0,0,0,0
"все прошло быстро,спасибо сотруднику. ",5.0,0,0,0,0,1,1,0,0,0
"Благодаря помощи Анастасии, быстро всё решили. Отличная, оперативная работа",5.0,0,1,0,0,1,1,1,1,0
Быстро и оперативно спасибо мастеру ,5.0,0,0,0,0,1,1,0,0,0
Спасибо за вашу работу! ,5.0,0,1,0,0,0,0,0,0,0
Все устранили в короткие сроки. Молодцы,5.0,0,1,0,0,0,1,0,0,0
"быстро, качественно, без лишних вопросов и нюансов ",5.0,0,1,0,0,0,1,1,0,0
"оперативно,  качественно! спасибо!",5.0,0,0,0,0,0,1,1,0,0
отличная работа,5.0,0,0,0,0,0,0,0,1,0
спасибо за быстрое решение вопроса! ,5.0,0,1,0,0,0,1,0,0,0
Спасибо за вашу работу ,5.0,0,1,0,0,0,0,0,0,0
очень оперативно. спасибо,5.0,0,0,0,0,0,1,0,0,0
Мгновенно. Спасибо,5.0,0,0,0,0,0,1,0,0,0
"Оказалось, что это не авария, а нюансы системы водоснабжения и отопления. Всё подробно объяснили, спасибо!)",5.0,0,0,0,0,0,0,1,0,0
"Спасибо. Отличная работа, прекрасный коллектив ",5.0,0,1,0,0,1,0,0,1,0
Спасибо) Оперативно устранили проблему.,5.0,0,1,0,0,0,1,0,0,0
быстро понятно спасибо,5.0,0,0,0,0,0,1,1,0,0
вопрос решен,5.0,0,1,0,0,0,0,0,0,0
Спасибо за проявленное участие и инциативу.,4.0,0,0,0,0,0,0,0,1,0
Ок. ,5.0,0,1,0,0,0,0,0,0,0
Хоть на заявки быстро отреагировали ,5.0,0,0,0,0,0,0,1,0,0
Заменили,5.0,0,1,0,0,0,0,0,0,0
Спасибо большое за оперативное реагирование и устранение неисправностей! ,5.0,0,1,0,0,0,1,0,0,0
Большое спасибо за оперативность решения вопроса!,5.0,0,1,0,0,0,1,0,0,0
грамотный специалист.,5.0,0,0,0,0,1,0,0,0,0
"Электрик быстро пришёл и всё устранил! Спасибо, очень доволен работой! ",5.0,0,1,0,0,1,1,1,1,0
"Спасибо за оперативность, желательно проверить и другие столбы освещения ",5.0,0,0,0,0,0,1,0,0,0
супер оперативно,5.0,0,0,0,0,0,1,0,0,0
быстро умтранили,5.0,0,0,0,0,0,1,0,0,0
Оперативно и качественно мастер решил проблему! Огромное спасибо ему.,5.0,0,1,0,0,1,1,1,0,0
"Быстро исправили, спасибо!",5.0,0,1,0,0,0,1,0,0,0
Супер!!!!,5.0,0,1,0,0,0,0,0,1,0
Благодарю за помощь!,5.0,0,1,0,0,0,0,0,0,0
"Оперативно, аккуратно, в удобное время. ",5.0,0,0,0,0,0,1,1,0,0
"Быстро обработали заявку, спасибо за оперативность",5.0,0,0,0,0,0,1,0,0,0
Спасибо большое.,5.0,0,1,0,0,0,0,0,0,0
Благодарю !,5.0,0,1,0,0,0,0,0,0,0
"Молодцы, спасибо ",5.0,0,1,0,0,0,0,0,0,0
Всё сделали отлично,5.0,0,0,0,0,0,0,0,1,0
Хороший мастер сделал всё быстро ,5.0,0,0,0,0,1,1,0,0,0
проблема решена после того как сходил в офис и разьяснил на пальцах,3.0,0,1,0,1,0,0,0,0,1
"Работа выполнена,  в кратчайший срок. Благодарю ",5.0,0,1,0,0,0,1,0,0,0
"Мастер пришел на следующий день и ответил на все вопросы, выдал рекомендации по устранению проблемы. Спасибо!",5.0,0,1,0,0,1,1,1,1,0
Все сделали очень быстро! Спасибо большое!,5.0,0,1,0,0,0,1,0,0,0
"При личном общении были решены все вопросы, полное взаимопонимание, отлично выполненная работа... ",5.0,0,1,0,0,0,0,1,1,0
супер оперативно ,5.0,0,0,0,0,0,1,0,0,0
Всё супер ,5.0,0,1,0,0,1,1,1,1,0
"Спасибо, всё оперативно сделано!",5.0,0,1,0,0,0,1,0,0,0
"спасибо,отреагировали очень быстро!",5.0,0,0,0,0,0,1,0,0,0
"очень быстро отреагировали..посмотрим ,как дальше будет..",5.0,0,0,0,0,0,1,0,0,0
"Здравствуйте. Спасибо Геннадию за работу. Все проверил и решил работу. Просьба если ранее вопрос не решен, то не закрывать заявки просто так, а передавать информацию специалистам в указанной сфере. ",5.0,0,1,0,0,1,0,0,0,0
"Благодарю за оперативное решение. Ответственный сотрудник держал меня в курсе выполнения заявки,за что ему отдельное спасибо.Очень клиентоориентированный подход! Спасибо!",5.0,0,1,0,0,1,1,1,1,0
спасибо! очень оперативно! 5+,5.0,0,0,0,0,0,1,0,0,0
"Вауу, супер спасибо",5.0,0,1,0,0,0,0,0,0,0
Наконец то.  Спасибо. ,5.0,0,1,0,0,0,0,0,0,0
"Огромное спасибо, очень помогли! Быстро и профессионально! ",5.0,0,1,0,0,0,1,1,1,0
"все нормально, спасибо",5.0,0,1,0,0,0,0,0,0,0
"Спасибо огромное Татьяне, вопрос решился очень оперативно и четко. ",5.0,0,1,0,0,1,1,1,1,0
Большое спасибо мастеру  палец вверх,5.0,0,0,0,0,1,0,0,0,0
"Спасибо оператору,  деж. (аварийной) смене за оперативную работу!!!",5.0,0,1,0,0,1,1,0,1,0
"Проблему решили временно, надеюсь люк поменяют",1.0,0,1,1,1,0,0,0,0,0
"Отреагировали оперативно, проблему решили и исправили по звонку телефона!",5.0,0,1,0,0,0,1,0,0,0
Ольга Птушкина  очень быстро и грамотно решила наш вопрос .Большое спасибо !!!,5.0,0,1,0,0,1,1,1,1,0
Спасибо за обратную связь! ,5.0,0,1,0,0,0,0,0,0,0
очень оперативно внесли данные по поверке ,5.0,0,1,0,0,0,1,0,0,0
"Спасибо Вам большое, быстро среагировали",5.0,0,0,0,0,0,1,0,0,0
Решилось само собой,2.0,0,1,1,1,0,0,0,0,1
"Сантехник очень быстро отключил воду, а сварщик очень быстро и качественно устранил проблему вновь, надеюсь, больше не увидимся ",5.0,0,1,0,0,0,1,1,0,0
Быстро среагировали ,5.0,0,0,0,0,0,1,0,0,0
Спасибо за оперативность,5.0,0,0,0,0,0,1,0,0,0
"Все сделали в течении часа, спасибо.",5.0,0,1,0,0,0,1,0,0,0
"Спасибо, большое!",5.0,0,1,0,0,0,0,0,0,0
Большое спасибо я! Оперативно все сделали!,5.0,0,1,0,0,0,1,0,0,0
Спасибо за фотоотчет,5.0,0,0,0,0,0,0,0,1,0
"Спасибо большое, свет сделали",5.0,0,1,0,0,0,0,0,1,0
Быстро отреагировали. Пятерка! палец вверх Спасибо.,5.0,0,1,0,0,0,1,0,0,0
Мастер своего дела!,5.0,0,0,0,0,1,0,0,0,0
спасибо!!,5.0,0,1,0,0,0,0,0,0,0
отличный сантехник. спасибо за работу!,5.0,0,1,0,0,1,0,0,1,0
замечания устранены,5.0,0,1,0,0,0,0,0,1,0
Оперативно исправили неполадку. Спасибо! ,5.0,0,1,0,0,0,1,0,0,0
Огромная благодарность за оперативное и корректное решение моего вопроса! вишнёвый цвет,5.0,0,1,0,0,0,1,1,1,0
Супер! Спасибо большое!,5.0,0,1,0,0,0,0,0,0,0
"спасибо, быстро и качественно ",5.0,0,1,0,0,0,1,1,0,0
"Татьяна - супер сотрудник, оперативно решает все вопросы, касательно аренды парковочного места в Пригороде Лесном.   Татьяна максимально ответственный и отзывчивый человек!  Лучший сотрудник в Управляющей компании, по моему личному мнению!",5.0,0,1,0,0,1,1,1,1,0
Реагировали быстро отключили сигнализацию пожарный тревоги. Спасибо огромное! ,5.0,0,1,0,0,0,1,0,0,0
спасибо что проверили ! пеекрасная работа!,5.0,0,1,0,0,0,0,0,1,0
Спасибо! Оперативно!,5.0,0,0,0,0,0,1,0,0,0
"ответили быстро, но увы ничего не смогут сделать.",3.0,1,0,0,1,0,1,0,0,0
спасибо за быстрое устранение проблемы ,5.0,0,1,0,0,0,1,0,0,0
"Здравствуйте! Большое спасибо дежурному диспетчеру-перезвонил в течение 5 минут от подачи заявки. Благодарю за сотрудничество! С уважением, Ю. П. ",5.0,0,0,0,0,1,1,0,0,0
"Четко и понятно, спасибо",5.0,0,0,0,0,0,0,1,0,0
"Спасибо, оператор умничка",5.0,0,0,0,0,1,0,0,0,0
быстро ,5.0,0,0,0,0,0,1,0,0,0
Спасибо большое. Проблему мастер решил быстро и качественно  палец вверх!!!,5.0,0,1,0,0,1,1,1,0,0
"Спасибо, Валерию! Все исправил, теперь дома тишина и спокойствие улыбающееся лицо",5.0,0,1,0,0,1,0,0,1,0
"Лифт работает,,спасибо.",5.0,0,0,0,0,0,0,0,1,0
"Спасибо , оперативно и качественно ",5.0,0,0,0,0,0,1,1,0,0
"специалисты приехали быстро, спустили грузовой застрявший лифт на 1 этаж, освободили человека. большое спасибо",5.0,0,1,0,0,1,1,1,1,0
"Ольга, большое спасибо. Хорошего дня.",5.0,0,0,0,0,1,0,0,0,0
отлично ,5.0,0,0,0,0,0,0,0,1,0
 большое спасибо!,5.0,0,1,0,0,0,0,0,0,0
"надписи убраны, но внешний вид панелей щита испорчен. остались царапины. ",4.0,0,1,1,0,0,0,0,1,1
"Все, решили оперативно ",5.0,0,1,0,0,0,1,0,0,0
спасибо большое за оперативность  рукопожатие,5.0,0,0,0,0,0,1,0,0,0
"Работы непосредственно по замене сливной фурнитуры ванны выполнены быстро и качественно. А вот согласование работ - процесс бесконечный, к сожалению и не в пользу собственника. Хорошо, что удалось достичь консенсуса. ",5.0,0,1,0,0,0,1,1,0,1
Оперативно! Спасибо ,5.0,0,0,0,0,0,1,0,0,0
"Устранили быстро. Хотелось бы заметить в целом недостатки крепления как в проектировании, когда в металлическую дверь доводчики крепятся обычными саморезами. По кол-ву дырок от старых мест видно, что сама по себе методика крепления не продумана. Саморез в металл - слабо живущее решение, с недолгим жизненным циклом.",4.0,0,0,0,0,0,1,0,0,1
очень быстро ответили,5.0,0,0,0,0,0,1,0,0,0
"Мастер достаточно быстро решил наш вопрос. Надо было повернуть направление регулятора температуры на батарее отопления в другую сторону. После выполнения работы аккуратно все протер,что приятно. Большое спасибо! ",5.0,0,0,0,0,0,1,1,1,0
Все оперативно и качественно!,5.0,0,0,0,0,0,1,1,0,0
Все было сделано быстро и профессионально ,5.0,0,0,0,0,0,1,1,0,0
Хороший сотрудник. Приятно общаться и получать ответы на все вопросы. ,5.0,0,0,0,0,1,0,1,1,0
Мастер своего дела !,5.0,0,0,0,0,1,0,0,0,0
Очень быстро! Оперативно ответили! Спасибо!!!,5.0,0,0,0,0,0,1,0,0,0
Спасибо мастерам за оперативность !!! ,5.0,0,0,0,0,1,1,0,0,0
Спасибо за работу  рукопожатие ,5.0,0,1,0,0,0,0,0,1,0
Спасибо что быстро ответили палец вверх,5.0,0,0,0,0,0,1,0,0,0
спасибо большое вам за качественную работу.,5.0,0,1,0,0,0,0,1,0,0
Спасибо Вам за понимание  палец вверх,5.0,0,1,0,0,0,0,0,0,0
Оперативно. Спасибо,5.0,0,0,0,0,0,1,0,0,0
всё отлично,5.0,0,1,0,0,1,1,1,1,0
Очень приятный инженер ,5.0,0,0,0,0,1,0,0,0,0
Благодарю за починку лифта! Работает!,5.0,0,1,0,0,0,0,0,1,0
"оперативно сделали, спасибо",5.0,0,1,0,0,0,1,0,0,0
Быстро и четко)спасибо,5.0,0,0,0,0,0,1,1,0,0
Спасибо большое за уборку!,5.0,0,0,0,0,0,0,0,1,0
"молодцы, даже нашли время проконсультировать",5.0,0,0,0,0,0,0,1,1,0
Молодцы  большое спасибо Оксана!,5.0,0,0,0,0,1,0,0,0,0
спасибо. быстро и качественно ,5.0,0,0,0,0,0,1,1,0,0
супер! спасибо,5.0,0,0,0,0,0,0,0,1,0
"супер, теперь кнопка светится",5.0,0,0,0,0,0,0,0,1,0
очень оперативно! спасибо огромное! ,5.0,0,0,0,0,0,1,0,0,0
"Пришли,, окна подкрутили. Быстро. ",5.0,0,0,0,0,0,1,0,1,0
"спасибо что поставили, теперь ждем отопления чтоб понять работает или нет. ",5.0,0,1,0,0,0,0,0,0,0
спасибо Вам за работу ,5.0,0,1,0,0,0,0,0,0,0
"быстро, для подъезда вполне хорошо)",5.0,0,0,0,0,0,1,0,0,0
Спасибо. Все понятно и благодушно разъяснили.,5.0,0,1,0,0,0,0,1,1,0
Быстро устранили палец вверх (светлая кожа),5.0,0,1,0,0,0,1,0,0,0
"Мастер все сделал быстро. Все отлично, работой довольна",5.0,0,1,0,0,1,1,1,1,0
Спасибо за оперативную обратную связь  руки в форме сердца,5.0,0,0,0,0,0,1,0,0,0
спасибо за грамотного специалиста! ,5.0,0,0,0,0,1,0,0,0,0
отличный специалист Максим Луговой,5.0,0,0,0,0,1,0,0,0,0
"Большое спасибо, всё сделали",5.0,0,1,0,0,0,0,0,1,0
Отличная работа! очень профессиональный и вежливый сотрудник!,5.0,0,1,0,0,1,0,1,0,0
спасибо оперативно!! ;,5.0,0,0,0,0,0,1,0,0,0
"быстро сработали, позвонили, сказали, что все хорошо ,ложная тревога ",5.0,0,1,0,0,0,1,0,1,0
быстро и оперативно демонтировали замок,5.0,0,0,0,0,0,1,0,1,0
Спасибо за оперативную работу !!!,5.0,0,0,0,0,0,1,0,0,0
"Оперативно, благодарю!",5.0,0,0,0,0,0,1,0,0,0
Большое спасибо сантехнику! ,5.0,0,0,0,0,1,0,0,0,0
супер-быстро помогли. по телефону помогли все решить. отлично!,5.0,0,1,0,0,0,1,0,1,0
Лифт снова работает. Заявку исполнили очень быстро,5.0,0,0,0,0,0,1,0,1,0
Быстро и четко!!!,5.0,0,0,0,0,0,1,1,0,0
Если бы не сотрудник УК Никита - уборщицы бы никогда нормально не помыли нам этаж,5.0,0,0,1,0,1,0,0,0,1
"Проблема устранена, достаточно оперативно ",5.0,0,1,0,0,0,1,0,0,0
"Спасибо сотруднику ук Никита, благодаря ему нам нормально  помыли  этаж, спасибо большое",5.0,0,0,1,0,1,0,0,0,0
"Вопросов нет, молодцы. Супер оперативно ",5.0,0,0,0,0,0,1,0,0,0
"всё прошло отлично, заранее позвонил предупредил о приходе, сделал всё быстро, вежливый, разулся хотя я говорил что не нужно у нас пыльно. Спасибо.",5.0,0,1,0,0,1,0,1,1,0
Благодарю от имени деток и их родителей!,5.0,0,0,0,0,0,0,0,1,0
"Отлично, спасибо большое ",5.0,0,1,0,0,0,0,0,0,0
Спасибо большое!),5.0,0,1,0,0,0,0,0,0,0
Благодарю.,5.0,0,1,0,0,0,0,0,0,0
Оперативно мастер подошёл. Все неполадки устранены. Мастер - тактичный молодой человек. Спасибо! ,5.0,0,1,0,0,1,1,1,1,0
Исправлено ,5.0,0,0,0,0,0,0,0,1,0
Благодарю за оперативность ))Хорошего дня),5.0,0,0,0,0,0,1,0,0,0
Большое спасибо:rose:,5.0,0,1,0,0,0,0,0,0,0
"Оперативно решили вопрос, спасибо.",5.0,0,1,0,0,0,1,0,0,0
Замечательный мастер ,5.0,0,0,0,0,1,0,0,0,0
Скорость супер ,5.0,0,0,0,0,0,1,0,0,0
Быстро проучила,5.0,1,0,0,0,0,0,0,0,0
Роман и его коллега СУПЕР специалисты  палец вверх (светлая кожа) палец вверх (светлая кожа) палец вверх (светлая кожа),5.0,0,0,0,0,1,0,0,0,0
Спасибо большое Мария рукопожатие  палец вверх,5.0,0,0,0,0,1,0,0,0,0
"Огромное спасибо, за помощь и проделанную Вами работу!",5.0,0,1,0,0,1,0,1,1,0
Молодцы,4.0,0,0,0,0,0,0,0,1,0
Большое спасибо Ольге - очень помогла и ответила на все вопросы  красное сердце красное сердце красное сердце,5.0,0,0,0,0,1,0,1,1,0
выполнена отлично!,5.0,0,1,0,0,0,0,0,0,0
Спасибо за быстрое реагирование заявки ,5.0,0,0,0,0,0,1,0,0,0
"все работает,спасибо",5.0,0,1,0,0,0,0,0,0,0
супербыстро. спасибо,5.0,0,0,0,0,0,1,0,0,0
Огромное спасибо сантехнику Геннадию за качественно оказанную услугу и профессионализм. Приятно иметь дело с такими людьми.,5.0,0,1,0,0,1,0,1,1,0
Спасибо! Вопрос решен в сжатые сроки и была предоставлена обратная связь.,5.0,0,1,0,0,1,1,0,0,0
электрик снял показания. будем ждать ответ,5.0,1,0,0,0,0,0,0,0,0
"спасибо, оперативно",5.0,0,0,0,0,0,1,0,0,0
спасибо огромное за понимание!,5.0,0,1,0,0,0,0,0,0,0
Течь устранена,5.0,0,1,0,0,0,0,0,1,0
"Оперативно, спасибо ",5.0,0,0,0,0,0,1,0,0,0
"Спасибо за проверку, за обратный звонок и разъяснение ",5.0,0,1,0,0,1,0,1,1,0
"спасибо, но можно убирать регулярно и  без заявок",5.0,0,1,1,0,0,0,0,0,1
Быстро! Оперативно,5.0,0,0,0,0,0,1,0,0,0
Спасибо большое!!!,5.0,0,1,0,0,0,0,0,0,0
Оперативно решила проблему),5.0,0,0,0,0,0,1,0,0,0
Всё быстро и оперативно!,5.0,0,0,0,0,0,1,0,0,0
"Спасибо большое, всё отлично палец вверх",5.0,0,1,0,0,1,1,1,1,0
Все быстро и в срок. Спасибо ,5.0,0,0,0,0,0,1,0,0,0
очень добрая женщина,5.0,0,0,0,0,1,0,0,0,0
Спасибо Вам большое :rose:,5.0,0,1,0,0,0,0,0,0,0
"небольшая неточность в консультации- нужно набрать код от домофона и нажать ""колокольчик"" на панели, иначе в домашний подъезд не пропускают ;)",4.0,0,1,1,0,0,0,0,0,0
Супер специалисты,5.0,0,0,0,0,1,0,0,0,0
Все на высшем уровне!,5.0,0,1,0,0,1,1,1,1,0
Отлично !,5.0,0,0,0,0,0,0,0,1,0
"Выполнено быстро, но хотелось бы, чтобы этого не происходило.",5.0,0,1,0,1,0,1,0,1,0
все рассказали и объяснили,5.0,0,1,0,0,1,0,1,1,0
"Спасибо большое, все отлично! ",5.0,0,1,0,0,1,1,1,1,0
"все оперативно, быстро, спасибо! ",5.0,0,0,0,0,0,1,0,0,0
Очень оперативно!,5.0,0,0,0,0,0,1,0,0,0
"Спасибо. На удивление, вопрос был решён быстро и оперативно. ",5.0,0,1,0,0,0,1,0,0,0
"Решил ситуацию быстро, спасибо.",5.0,0,1,0,0,0,1,0,0,0
"Спасибо большое, все выполнено быстро и качественно  улыбающееся лицо с глазами палец вверх",5.0,0,1,0,0,0,1,1,0,0
Андрей всё сделал хорошо ,5.0,0,0,0,0,1,0,1,1,0
"Спасибо, очень оперативно!",5.0,0,0,0,0,0,1,0,0,0
Хорошо ,5.0,0,0,0,0,0,0,0,1,0
спасибо за оперативность!,5.0,0,0,0,0,0,1,0,0,0
"да, спасибо,теперь лифт заработал",5.0,0,1,0,0,0,0,0,1,0
Специалист прекрасно выполнил работу! Благодарна за отзывчивость. Больше бы таких сотрудников.,5.0,0,1,0,0,1,0,1,1,0
супер спасибо,5.0,0,1,0,0,0,0,0,1,0
быстро решили проблему,5.0,0,1,0,0,0,1,0,0,0
Очень оперативно справились :thumbs_up_medium-light_skin_tone:,5.0,0,1,0,0,0,1,0,0,0
Спасибо очень быстро отреагировали,5.0,0,0,0,0,0,1,0,0,0
"Все сделано оперативно, мастер Воронков Сергей сделал все быстро ",5.0,0,0,0,0,1,1,0,0,0
Очень оперативно решили проблему,5.0,0,1,0,0,0,1,0,0,0
"Все хорошо, спасибо ",5.0,0,0,0,0,0,0,0,1,0
Добрый день. Работы исполнены. Благодарю.,5.0,0,1,0,0,0,0,0,0,0
"Спасибо Татьяне, всю информацию обновили",5.0,0,0,0,0,1,0,0,1,0
спасибо.,5.0,0,1,0,0,0,0,0,0,0
спасибо за оперативность!!,5.0,0,0,0,0,0,1,0,0,0
"Очень подробно, большое спасибо за консультацию! ",5.0,0,0,0,0,0,0,1,1,0
